Date	2023年01月06日金曜日 11時57分26秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	4
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
372.015	2.569534
372.376	2.610110
372.737	2.689221
373.098	2.703144
373.458	2.713605
373.819	2.846478
374.180	2.714976
374.541	2.650024
374.902	2.546968
375.263	2.499661
375.623	2.524036
375.984	2.491573
376.345	2.514098
376.705	2.535964
377.066	2.539473
377.426	2.605910
377.787	2.702598
378.147	2.719990
378.508	2.824744
378.868	2.899935
379.228	2.914083
379.589	2.748632
379.949	2.621942
380.309	2.545033
380.670	2.497893
381.030	2.516010
381.390	2.541654
381.750	2.477225
382.110	2.450850
382.470	2.486519
382.830	2.520916
383.190	2.507117
383.550	2.475771
383.910	2.499935
384.270	2.490694
384.630	2.467175
384.990	2.468314
385.350	2.516549
385.709	2.535277
386.069	2.546509
386.429	2.615363
386.788	2.770662
387.148	2.904021
387.508	2.945267
387.867	3.068746
388.227	3.123422
388.586	3.126343
388.946	2.869020
389.305	2.860259
389.665	2.908242
390.024	2.730245
390.383	2.672255
390.743	2.618618
391.102	2.640742
391.461	2.693945
391.820	2.627723
392.179	2.664278
392.539	2.676068
392.898	2.608366
393.257	2.603615
393.616	2.582030
393.975	2.639301
394.334	2.576380
394.693	2.504836
395.051	2.529109
395.410	2.458362
395.769	2.498747
396.128	2.470396
396.487	2.477983
396.845	2.439627
397.204	2.420938
397.563	2.419499
397.921	2.479510
398.280	2.458705
398.638	2.547226
398.997	2.479069
399.355	2.603204
399.714	2.723258
400.072	2.732250
400.431	2.708198
400.789	2.717504
401.147	2.576194
401.506	2.586943
401.864	2.578499
402.222	2.599427
402.580	2.521726
402.938	2.458771
403.297	2.496713
403.655	2.507747
404.013	2.521195
404.371	2.610244
404.729	2.588022
405.087	2.564062
405.444	2.519763
405.802	2.485979
406.160	2.468890
406.518	2.446763
406.876	2.491338
407.233	2.465166
407.591	2.462366
407.949	2.437087
408.306	2.438917
408.664	2.539668
409.022	2.589578
409.379	2.662752
409.737	2.643467
410.094	2.561514
410.451	2.575615
410.809	2.580103
411.166	2.707281
411.523	2.804222
411.881	2.704701
412.238	2.584514
412.595	2.583752
412.952	2.645699
413.310	2.641608
413.667	2.696656
414.024	2.662685
414.381	2.589035
414.738	2.510088
415.095	2.500609
415.452	2.579204
415.809	2.528511
416.165	2.452958
416.522	2.448077
416.879	2.426333
417.236	2.415937
417.593	2.444680
417.949	2.447601
418.306	2.406441
418.663	2.412857
419.019	2.443697
419.376	2.447381
419.732	2.450686
420.089	2.394091
420.445	2.375269
420.802	2.374303
421.158	2.384084
421.514	2.414935
421.871	2.391111
422.227	2.384907
422.583	2.437037
422.939	2.435982
423.295	2.451263
423.652	2.441845
424.008	2.380301
424.364	2.421542
424.720	2.400595
425.076	2.390034
425.432	2.360888
425.788	2.312146
426.143	2.309783
426.499	2.313996
426.855	2.345783
427.211	2.379782
427.567	2.312232
427.922	2.343596
428.278	2.336624
428.634	2.354116
428.989	2.337074
429.345	2.351620
429.700	2.337079
430.056	2.335695
430.411	2.343410
430.767	2.329094
431.122	2.286706
431.478	2.339802
431.833	2.353427
432.188	2.368368
432.543	2.329321
432.899	2.383031
433.254	2.384285
433.609	2.375441
433.964	2.385054
434.319	2.422077
434.674	2.389458
435.029	2.358658
435.384	2.382479
435.739	2.382035
436.094	2.325890
436.449	2.303284
436.804	2.253714
437.158	2.285275
437.513	2.270624
437.868	2.244317
438.223	2.266202
438.577	2.264749
438.932	2.261067
439.287	2.287598
439.641	2.283913
439.996	2.334710
440.350	2.343853
440.704	2.365666
441.059	2.346547
441.413	2.296628
441.768	2.265768
442.122	2.299320
442.476	2.284990
442.830	2.272321
443.185	2.258639
443.539	2.242822
443.893	2.199308
444.247	2.207315
444.601	2.197243
444.955	2.180279
445.309	2.133550
445.663	2.125414
446.017	2.119919
446.371	2.110007
446.724	2.099028
447.078	2.109217
447.432	2.108443
447.786	2.100759
448.139	2.126571
448.493	2.151144
448.847	2.136591
449.200	2.107858
449.554	2.102402
449.907	2.085634
450.261	2.077909
450.614	2.050628
450.968	2.080668
451.321	2.050457
451.674	2.015100
452.027	1.999414
452.381	2.033038
452.734	2.017899
453.087	2.028980
453.440	2.047272
453.793	2.071185
454.146	2.063439
454.499	2.069897
454.852	2.112064
455.205	2.121525
455.558	2.101097
455.911	2.099433
456.264	2.088212
456.617	2.073659
456.970	2.061800
457.322	2.041613
457.675	2.047609
458.028	2.026963
458.380	2.020393
458.733	1.999022
459.086	2.010169
459.438	2.016246
459.791	1.992359
460.143	1.975056
460.496	1.970188
