Date	2022年08月06日土曜日 12時58分22秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	1000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
440.704	2.246559
441.059	2.083796
441.413	2.001068
441.768	2.051390
442.122	2.032677
442.476	2.023802
442.830	2.208186
443.185	2.215270
443.539	2.133205
443.893	2.071653
444.247	2.065042
444.601	1.944680
444.955	2.080881
445.309	1.939474
445.663	1.992084
446.017	1.918927
446.371	1.993253
446.724	1.916992
447.078	2.028743
447.432	1.967964
447.786	2.048661
448.139	2.119908
448.493	1.978463
448.847	1.960570
449.200	1.976031
449.554	2.060475
449.907	1.878693
450.261	2.136346
450.614	1.958699
450.968	1.947381
451.321	1.929145
451.674	2.003979
452.027	1.923702
452.381	1.882804
452.734	1.943948
453.087	1.952235
453.440	1.894144
453.793	1.833245
454.146	1.874975
454.499	1.847651
454.852	1.842962
455.205	1.893339
455.558	1.859240
455.911	1.849921
456.264	1.914364
456.617	1.829162
456.970	1.918183
457.322	1.938330
457.675	1.992420
458.028	1.896444
458.380	1.873738
458.733	1.847936
459.086	1.805919
459.438	1.950508
459.791	1.949791
460.143	1.844817
460.496	1.852467
460.848	1.912534
461.200	1.759262
461.553	1.756277
461.905	1.770157
462.257	1.945641
462.609	1.763568
462.961	1.779606
463.314	1.819836
463.666	1.802391
464.018	1.746550
464.370	1.801569
464.722	1.745970
465.074	1.763815
465.426	1.778219
465.777	1.753972
466.129	1.732749
466.481	1.763352
466.833	1.707155
467.184	1.758399
467.536	1.737676
467.888	1.719423
468.239	1.743963
468.591	1.772411
468.943	1.734269
469.294	1.835852
469.646	1.662731
469.997	1.734548
470.348	1.787065
470.700	1.760942
471.051	1.729118
471.402	1.663819
471.754	1.794396
472.105	1.758328
472.456	1.692915
472.807	1.628635
473.158	1.695291
473.509	1.572134
473.860	1.689889
474.211	1.672747
474.562	1.664758
474.913	1.658269
475.264	1.627125
475.615	1.682107
475.966	1.637272
476.316	1.672998
476.667	1.662989
477.018	1.646355
477.368	1.652803
477.719	1.633520
478.070	1.625321
478.420	1.583869
478.771	1.660232
479.121	1.676487
479.472	1.560338
479.822	1.616685
480.172	1.610749
480.523	1.610145
480.873	1.583559
481.223	1.593959
481.573	1.610991
481.924	1.596714
482.274	1.579503
482.624	1.605892
482.974	1.585629
483.324	1.599214
483.674	1.575733
484.024	1.606049
484.374	1.587637
484.724	1.565095
485.073	1.552174
485.423	1.560945
485.773	1.532841
486.123	1.539423
486.472	1.525134
486.822	1.549503
487.172	1.529283
487.521	1.515179
487.871	1.528777
488.220	1.538134
488.570	1.529711
488.919	1.516057
489.268	1.503139
489.618	1.512381
489.967	1.517755
490.316	1.503445
490.666	1.512326
491.015	1.507449
491.364	1.519079
491.713	1.501031
492.062	1.526586
492.411	1.488837
492.760	1.488458
493.109	1.481822
493.458	1.520797
493.807	1.465156
494.156	1.476118
494.505	1.483070
494.853	1.468277
495.202	1.474541
495.551	1.459278
495.900	1.465808
496.248	1.458286
496.597	1.447784
496.945	1.478614
497.294	1.450018
497.642	1.448257
497.991	1.461291
498.339	1.454184
498.688	1.432839
499.036	1.455862
499.384	1.428826
499.732	1.433782
500.081	1.451168
500.429	1.460012
500.777	1.450907
501.125	1.425392
501.473	1.426306
501.821	1.454692
502.169	1.417503
502.517	1.392580
502.865	1.417730
503.213	1.439059
503.561	1.417050
503.908	1.402217
504.256	1.383006
504.604	1.396283
504.952	1.387044
505.299	1.413859
505.647	1.401694
505.994	1.370107
506.342	1.403619
506.689	1.366090
507.037	1.384398
507.384	1.375708
507.732	1.384668
508.079	1.358033
508.426	1.361213
508.774	1.357201
509.121	1.380877
509.468	1.356349
509.815	1.362324
510.162	1.369765
510.509	1.367045
510.856	1.368864
511.203	1.341319
511.550	1.353860
511.897	1.367320
512.244	1.367757
512.591	1.330483
512.938	1.333128
513.284	1.322935
513.631	1.358960
513.978	1.326397
514.324	1.353357
514.671	1.339807
515.018	1.337796
515.364	1.332222
515.711	1.307253
516.057	1.332016
516.403	1.325174
516.750	1.313977
517.096	1.319203
517.443	1.297017
517.789	1.313257
518.135	1.302250
518.481	1.319289
518.827	1.304178
519.173	1.291093
519.519	1.289594
519.865	1.282818
520.211	1.274223
520.557	1.264439
520.903	1.305099
521.249	1.306959
521.595	1.327254
521.941	1.289322
522.287	1.303925
522.632	1.277441
522.978	1.294703
523.324	1.256217
523.669	1.280085
524.015	1.269851
524.360	1.261316
524.706	1.245948
525.051	1.250163
525.397	1.273669
525.742	1.270248
526.087	1.242306
526.433	1.283914
526.778	1.261921
527.123	1.259853
527.468	1.259496
527.813	1.230029
528.158	1.262774
528.504	1.260267
528.849	1.224172
529.193	1.242621
529.538	1.252037
529.883	1.241557
530.228	1.237132
530.573	1.226772
530.918	1.230068
531.263	1.235557
531.607	1.204235
531.952	1.221684
532.296	1.223704
532.641	1.242770
532.986	1.188348
533.330	1.195284
533.675	1.194896
534.019	1.193522
534.363	1.203119
534.708	1.192797
535.052	1.189662
535.396	1.194997
535.741	1.182248
536.085	1.194752
536.429	1.177075
536.773	1.193859
537.117	1.178859
537.461	1.195462
537.805	1.153275
538.149	1.166642
538.493	1.153371
538.837	1.171570
539.181	1.183866
539.524	1.167460
539.868	1.143793
540.212	1.160260
540.556	1.153232
540.899	1.166169
541.243	1.140876
541.586	1.146020
541.930	1.150943
542.273	1.148309
542.617	1.141750
542.960	1.136440
543.304	1.131096
543.647	1.129812
543.990	1.118611
544.333	1.125109
544.677	1.115030
545.020	1.134383
545.363	1.127718
545.706	1.126306
546.049	1.107377
546.392	1.101884
546.735	1.090028
547.078	1.107768
547.421	1.093054
547.764	1.091152
548.106	1.070918
548.449	1.074795
548.792	1.077348
549.135	1.065063
549.477	1.070678
549.820	1.073417
550.162	1.067267
550.505	1.066638
550.847	1.066831
551.190	1.057276
551.532	1.053935
551.875	1.031758
552.217	1.038955
552.559	1.021452
552.901	1.030638
553.244	1.034305
553.586	1.038044
553.928	1.025716
554.270	1.022251
554.612	1.014093
554.954	1.005873
555.296	1.009141
555.638	0.999411
555.980	1.012704
556.322	0.982179
556.663	0.992968
557.005	1.002938
557.347	0.988554
557.689	0.972416
558.030	0.980130
558.372	0.974446
558.713	0.966826
559.055	0.985467
559.396	0.961254
559.738	0.958213
560.079	0.955404
560.421	0.955715
560.762	0.949956
561.103	0.939238
561.444	0.926992
561.786	0.933867
562.127	0.932307
562.468	0.933254
562.809	0.928869
563.150	0.918634
563.491	0.913806
563.832	0.909541
564.173	0.897822
564.514	0.885385
564.855	0.892094
565.195	0.894475
565.536	0.888541
565.877	0.887901
566.218	0.888234
566.558	0.880470
566.899	0.872242
567.239	0.881024
567.580	0.875894
567.920	0.869415
568.261	0.854413
568.601	0.860132
568.941	0.859434
569.282	0.854515
569.622	0.848673
569.962	0.845960
570.302	0.838452
570.643	0.837981
570.983	0.828243
571.323	0.823313
571.663	0.825964
572.003	0.816099
572.343	0.816659
572.683	0.806334
573.022	0.795466
573.362	0.779200
573.702	0.753194
574.042	0.729789
574.381	0.714861
574.721	0.713126
575.061	0.708193
575.400	0.707885
575.740	0.707128
576.079	0.704653
576.419	0.690101
576.758	0.662755
577.097	0.634707
577.437	0.616015
577.776	0.607862
578.115	0.606606
578.454	0.602749
578.794	0.613002
579.133	0.628343
579.472	0.639231
579.811	0.639357
580.150	0.615615
580.489	0.576156
580.828	0.543738
581.167	0.519281
581.505	0.502568
581.844	0.496705
582.183	0.504435
582.522	0.539286
582.860	0.582385
583.199	0.624178
583.538	0.655111
583.876	0.664713
584.215	0.654016
584.553	0.634371
584.891	0.614596
585.230	0.607079
585.568	0.606319
585.906	0.612076
586.245	0.623671
586.583	0.634741
586.921	0.643674
587.259	0.647109
587.597	0.645923
587.935	0.653551
588.273	0.669493
588.611	0.688801
588.949	0.701161
589.287	0.702805
589.625	0.702369
589.963	0.700763
590.300	0.701577
590.638	0.700368
590.976	0.700181
591.313	0.696281
591.651	0.695499
591.989	0.694560
592.326	0.689527
592.664	0.685111
593.001	0.683221
593.338	0.682029
593.676	0.678214
594.013	0.678975
594.350	0.680500
594.687	0.676728
595.025	0.674139
595.362	0.679054
595.699	0.674074
596.036	0.674085
596.373	0.673290
596.710	0.675147
597.047	0.677014
597.384	0.667849
597.720	0.671061
598.057	0.669377
598.394	0.668592
598.731	0.668020
599.067	0.665727
599.404	0.663106
599.741	0.664630
600.077	0.658620
600.414	0.659999
600.750	0.659296
601.087	0.658488
601.423	0.658092
601.759	0.652792
602.096	0.650686
602.432	0.650804
602.768	0.651888
603.104	0.647131
603.440	0.648572
603.776	0.650064
604.112	0.648744
604.448	0.652229
604.784	0.645311
605.120	0.646162
605.456	0.644646
605.792	0.644344
606.128	0.643212
606.463	0.641533
606.799	0.638332
607.135	0.639723
607.470	0.640195
607.806	0.632429
608.142	0.631639
608.477	0.638223
608.812	0.638642
609.148	0.636581
609.483	0.634705
609.819	0.632577
610.154	0.633045
610.489	0.630484
610.824	0.631255
611.159	0.629320
611.494	0.628924
611.830	0.626102
612.165	0.627562
612.500	0.624327
612.834	0.626038
613.169	0.626920
613.504	0.621703
613.839	0.628615
614.174	0.623499
614.509	0.625225
614.843	0.621717
615.178	0.623130
615.512	0.621757
615.847	0.614366
616.182	0.617910
616.516	0.616844
616.850	0.613518
617.185	0.615878
617.519	0.614200
617.853	0.611628
618.188	0.613787
618.522	0.611658
618.856	0.614034
619.190	0.607954
619.524	0.611155
619.858	0.605466
620.192	0.610097
620.526	0.611909
620.860	0.609695
621.194	0.603537
621.528	0.597468
621.862	0.604734
622.195	0.598464
622.529	0.603219
622.863	0.604800
623.196	0.602349
623.530	0.600056
623.864	0.594229
624.197	0.597468
624.530	0.596386
624.864	0.594920
625.197	0.595835
625.531	0.595148
625.864	0.595342
626.197	0.592904
626.530	0.595626
626.863	0.593199
627.196	0.595611
627.529	0.592164
627.862	0.592948
628.195	0.587299
628.528	0.596711
628.861	0.591758
629.194	0.598085
629.527	0.590723
629.860	0.584830
630.192	0.595208
630.525	0.584623
630.858	0.591228
631.190	0.585904
631.523	0.589795
631.855	0.573345
632.188	0.580216
632.520	0.585439
632.852	0.577418
633.185	0.578750
633.517	0.574384
633.849	0.585019
634.182	0.581630
634.514	0.588667
634.846	0.579363
635.178	0.573651
635.510	0.578377
635.842	0.575259
636.174	0.574805
636.506	0.571324
636.837	0.582441
637.169	0.571367
637.501	0.564374
637.833	0.577935
638.164	0.587808
638.496	0.572472
638.828	0.567921
639.159	0.565147
639.491	0.569282
639.822	0.578415
640.154	0.562031
640.485	0.587509
640.816	0.563680
641.147	0.557600
641.479	0.566253
641.810	0.575624
642.141	0.560949
642.472	0.579978
642.803	0.579692
643.134	0.571135
643.465	0.568631
643.796	0.571252
644.127	0.551654
644.458	0.552909
644.789	0.572642
645.119	0.566903
645.450	0.565780
645.781	0.552749
646.111	0.569036
646.442	0.547406
646.773	0.563444
647.103	0.551495
647.433	0.572199
647.764	0.557052
648.094	0.553714
648.425	0.551481
648.755	0.557978
649.085	0.560390
649.415	0.555090
649.745	0.546948
650.075	0.550183
650.405	0.563906
650.735	0.545315
651.065	0.547805
651.395	0.553319
651.725	0.548911
652.055	0.539277
652.385	0.554911
652.715	0.548740
653.044	0.553055
653.374	0.533260
653.704	0.551903
654.033	0.558426
654.363	0.565492
654.692	0.401406
655.022	0.130226
655.351	0.002328
655.680	-0.000000
656.010	-0.000000
656.339	-0.000000
656.668	-0.000000
656.997	-0.000000
657.326	0.116250
657.655	0.280430
657.984	0.452814
658.313	0.555609
658.642	0.547982
658.971	0.546701
659.300	0.539627
659.629	0.528725
659.958	0.539377
660.286	0.556049
660.615	0.550864
660.944	0.524478
661.272	0.544770
661.601	0.548314
661.929	0.527330
662.258	0.524436
662.586	0.532183
662.915	0.534166
663.243	0.521427
663.571	0.529703
663.899	0.540919
664.228	0.512787
664.556	0.539646
664.884	0.521791
665.212	0.519219
665.540	0.533405
665.868	0.526608
666.196	0.544981
666.524	0.538255
666.852	0.530621
667.179	0.505998
667.507	0.511978
667.835	0.516861
668.162	0.521714
668.490	0.523929
668.818	0.520921
669.145	0.528407
669.473	0.540827
669.800	0.525434
670.127	0.533632
670.455	0.523235
670.782	0.527652
671.109	0.531919
671.436	0.524604
671.764	0.524270
672.091	0.512647
672.418	0.525164
672.745	0.525447
673.072	0.514998
673.399	0.506237
673.726	0.522903
674.053	0.532968
674.379	0.521673
674.706	0.520444
675.033	0.521407
675.359	0.522662
675.686	0.519392
676.013	0.522184
676.339	0.524794
676.666	0.527345
676.992	0.516400
677.318	0.512857
677.645	0.492569
677.971	0.506841
678.297	0.509889
678.624	0.513512
678.950	0.516902
679.276	0.513933
679.602	0.511883
679.928	0.517849
680.254	0.511008
680.580	0.501224
680.906	0.503394
681.232	0.503501
681.558	0.500113
681.883	0.502488
682.209	0.505044
682.535	0.497185
682.860	0.517424
683.186	0.504912
683.511	0.507922
683.837	0.514694
684.162	0.509234
684.488	0.500300
684.813	0.494186
685.138	0.511041
685.464	0.488963
685.789	0.497794
686.114	0.505663
686.439	0.494753
686.764	0.496512
687.089	0.494656
687.414	0.497892
687.739	0.499446
688.064	0.490802
688.389	0.498594
688.714	0.484778
689.039	0.487725
689.363	0.503326
689.688	0.502943
690.013	0.490053
690.337	0.512235
690.662	0.489317
690.986	0.484923
691.311	0.484542
691.635	0.492135
691.959	0.484961
692.284	0.497623
692.608	0.483590
692.932	0.496585
693.256	0.488263
693.580	0.490368
693.904	0.496109
694.228	0.481861
694.552	0.490153
694.876	0.485550
695.200	0.479162
695.524	0.482000
695.848	0.491294
696.172	0.486403
696.495	0.491278
696.819	0.477476
697.143	0.503290
697.466	0.481703
697.790	0.480439
698.113	0.477094
698.437	0.488431
698.760	0.489602
699.083	0.484024
699.407	0.478593
699.730	0.471642
700.053	0.485221
700.376	0.482455
700.699	0.495071
701.022	0.482139
701.345	0.480256
701.668	0.473523
701.991	0.488253
702.314	0.494019
702.637	0.489697
702.960	0.476811
703.283	0.478583
703.605	0.488194
703.928	0.475842
704.251	0.484396
704.573	0.479368
704.896	0.466053
705.218	0.469617
705.540	0.474803
705.863	0.465988
706.185	0.464880
706.507	0.472572
706.830	0.477041
707.152	0.478239
707.474	0.476655
707.796	0.468428
708.118	0.463923
708.440	0.458043
708.762	0.468782
709.084	0.476442
709.406	0.474120
709.728	0.475935
710.049	0.455428
710.371	0.457624
710.693	0.488619
