Date	2022年12月21日水曜日 09時26分15秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
449.200	1.479733
449.554	1.475412
449.907	1.472296
450.261	1.460711
450.614	1.465505
450.968	1.461573
451.321	1.454548
451.674	1.452708
452.027	1.443134
452.381	1.448753
452.734	1.443443
453.087	1.426384
453.440	1.448350
453.793	1.436041
454.146	1.431984
454.499	1.432380
454.852	1.435329
455.205	1.407823
455.558	1.416711
455.911	1.417880
456.264	1.423446
456.617	1.407380
456.970	1.411157
457.322	1.411191
457.675	1.392231
458.028	1.406868
458.380	1.402616
458.733	1.380535
459.086	1.384019
459.438	1.386192
459.791	1.386178
460.143	1.388638
460.496	1.388712
460.848	1.367169
461.200	1.386825
461.553	1.365690
461.905	1.355612
462.257	1.368489
462.609	1.357690
462.961	1.358471
463.314	1.365174
463.666	1.356068
464.018	1.343781
464.370	1.337336
464.722	1.345190
465.074	1.331468
465.426	1.337934
465.777	1.327795
466.129	1.330461
466.481	1.326004
466.833	1.331474
467.184	1.314814
467.536	1.330337
467.888	1.325868
468.239	1.316884
468.591	1.309638
468.943	1.300665
469.294	1.315867
469.646	1.308635
469.997	1.315372
470.348	1.292342
470.700	1.294052
471.051	1.295037
471.402	1.277950
471.754	1.283973
472.105	1.273217
472.456	1.285609
472.807	1.289046
473.158	1.283113
473.509	1.267256
473.860	1.266814
474.211	1.263568
474.562	1.270476
474.913	1.270909
475.264	1.259036
475.615	1.263480
475.966	1.256486
476.316	1.243583
476.667	1.250923
477.018	1.256424
477.368	1.252401
477.719	1.248222
478.070	1.247666
478.420	1.242713
478.771	1.236766
479.121	1.235119
479.472	1.237776
479.822	1.231558
480.172	1.232507
480.523	1.220994
480.873	1.219797
481.223	1.216401
481.573	1.221089
481.924	1.221468
482.274	1.213215
482.624	1.205654
482.974	1.208053
483.324	1.210130
483.674	1.208329
484.024	1.211426
484.374	1.203276
484.724	1.200112
485.073	1.194319
485.423	1.189849
485.773	1.188851
486.123	1.184407
486.472	1.184202
486.822	1.181056
487.172	1.180594
487.521	1.177914
487.871	1.179223
488.220	1.177546
488.570	1.174220
488.919	1.170347
489.268	1.168410
489.618	1.161184
489.967	1.163989
490.316	1.161921
490.666	1.159787
491.015	1.156002
491.364	1.160652
491.713	1.151968
492.062	1.152497
492.411	1.148403
492.760	1.145169
493.109	1.143024
493.458	1.142371
493.807	1.140797
494.156	1.139496
494.505	1.127705
494.853	1.132613
495.202	1.135781
495.551	1.130243
495.900	1.125521
496.248	1.123348
496.597	1.121758
496.945	1.117172
497.294	1.124128
497.642	1.115065
497.991	1.111728
498.339	1.119317
498.688	1.105452
499.036	1.106047
499.384	1.107010
499.732	1.103467
500.081	1.104573
500.429	1.097027
500.777	1.096925
501.125	1.091509
501.473	1.095325
501.821	1.085787
502.169	1.088805
502.517	1.082557
502.865	1.081580
503.213	1.077318
503.561	1.077310
503.908	1.071310
504.256	1.069340
504.604	1.068087
504.952	1.066657
505.299	1.062081
505.647	1.067251
505.994	1.066879
506.342	1.057835
506.689	1.060808
507.037	1.057706
507.384	1.050700
507.732	1.053014
508.079	1.047696
508.426	1.044643
508.774	1.048719
509.121	1.048484
509.468	1.045261
509.815	1.036810
510.162	1.038767
510.509	1.039757
510.856	1.034307
511.203	1.036232
511.550	1.030533
511.897	1.030846
512.244	1.023194
512.591	1.022205
512.938	1.023830
513.284	1.020761
513.631	1.019141
513.978	1.020957
514.324	1.015628
514.671	1.016002
515.018	1.018404
515.364	1.010403
515.711	1.008423
516.057	1.006800
516.403	1.005725
516.750	1.003757
517.096	1.007582
517.443	1.001866
517.789	0.996332
518.135	0.997488
518.481	0.998733
518.827	0.997558
519.173	0.998050
519.519	0.991615
519.865	0.989697
520.211	0.996317
520.557	0.986257
520.903	0.989678
521.249	0.984182
521.595	0.981751
521.941	0.982702
522.287	0.983998
522.632	0.981049
522.978	0.978630
523.324	0.978636
523.669	0.974345
524.015	0.968948
524.360	0.972538
524.706	0.969011
525.051	0.971196
525.397	0.967917
