出力日時,2021/06/21 13:39:02
データソース,hematite_First.S5-2-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
20.879,17.600,-0.22,2.2E-05,0.000139687000000004
20.979,17.700,-0.219,2.3E-05,0.000141895500000004
21.079,17.800,-0.218,2.3E-05,0.000144152500000004
21.179,17.900,-0.217,2.4E-05,0.000146447000000004
21.279,18.000,-0.216,2.4E-05,0.000148820000000004
21.379,18.100,-0.215,2.5E-05,0.000151207500000004
21.479,18.200,-0.214,2.6E-05,0.000153665000000004
21.579,18.300,-0.213,2.5E-05,0.000156133500000004
21.679,18.400,-0.212,2.6E-05,0.000158635000000004
21.779,18.500,-0.211,2.6E-05,0.000161203000000004
21.879,18.600,-0.21,2.6E-05,0.000163813000000005
21.979,18.700,-0.209,2.7E-05,0.000166473500000005
22.079,18.800,-0.208,2.8E-05,0.000169188000000005
22.179,18.900,-0.207,2.8E-05,0.000171973000000005
22.279,19.000,-0.206,2.9E-05,0.000174775500000005
22.379,19.100,-0.205,2.8E-05,0.000177620000000005
22.479,19.200,-0.204,3.1E-05,0.000180538500000004
22.579,19.300,-0.203,2.9E-05,0.000183496500000004
22.679,19.400,-0.202,3.1E-05,0.000186541500000004
22.779,19.500,-0.201,3.2E-05,0.000189630000000004
22.879,19.600,-0.2,3.2E-05,0.000192775000000004
22.979,19.700,-0.199,3.1E-05,0.000196003500000004
23.079,19.800,-0.198,3.3E-05,0.000199278500000004
23.179,19.900,-0.197,3.3E-05,0.000202597500000004
23.279,20.000,-0.196,3.3E-05,0.000205967500000004
23.379,20.100,-0.195,3.4E-05,0.000209417000000004
23.479,20.200,-0.194,3.5E-05,0.000212939500000004
23.579,20.300,-0.193,3.6E-05,0.000216505000000004
23.679,20.400,-0.192,3.7E-05,0.000220141500000004
23.779,20.500,-0.191,3.8E-05,0.000223863000000004
23.879,20.600,-0.19,3.8E-05,0.000227645000000004
23.979,20.700,-0.189,3.8E-05,0.000231513000000004
24.079,20.800,-0.188,4E-05,0.000235452000000004
24.179,20.900,-0.187,3.9E-05,0.000239465500000004
24.279,21.000,-0.186,4E-05,0.000243529000000004
24.379,21.100,-0.185,4.1E-05,0.000247666500000004
24.479,21.200,-0.184,4.1E-05,0.000251857500000004
24.579,21.300,-0.183,4.3E-05,0.000256121500000004
24.679,21.400,-0.182,4.4E-05,0.000260505000000003
24.779,21.500,-0.181,4.4E-05,0.000264929000000002
24.879,21.600,-0.18,4.5E-05,0.000269418500000002
24.979,21.700,-0.179,4.7E-05,0.000274017500000002
25.079,21.800,-0.178,4.8E-05,0.000278697000000002
25.179,21.900,-0.177,4.8E-05,0.000283458000000002
25.279,22.000,-0.176,4.9E-05,0.000288323500000002
25.379,22.100,-0.175,5E-05,0.000293227000000002
25.479,22.200,-0.174,5.1E-05,0.000298237500000002
25.579,22.300,-0.173,5.2E-05,0.000303317000000002
25.679,22.400,-0.172,5.3E-05,0.000308480500000001
25.779,22.500,-0.171,5.3E-05,0.000313789500000002
25.879,22.600,-0.17,5.4E-05,0.000319192000000002
